Customer ID,Partner,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,tenure,MonthlyCharges,CLTV,Satisfaction Score,AgeGroup
3668-QPYBK,No,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,2,53.85,3239,1,Middle Age (30–59)
9237-HQITU,No,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,2,70.7,2701,2,Under 30
9305-CDSKC,No,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,8,99.65,5372,3,Middle Age (30–59)
0280-XJGEX,No,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),49,103.7,5340,1,Middle Age (30–59)
4190-MFLUW,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),10,55.2,5925,1,Under 30
8779-QRDMV,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,1,39.65,5433,3,Senior (≥ 60)
1066-JKSGK,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,1,20.15,4832,1,Under 30
6467-CHFZW,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,47,99.35,5789,1,Middle Age (30–59)
8665-UTDHZ,Yes,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,1,30.2,2915,1,Under 30
8773-HHUOZ,No,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,17,64.7,3022,1,Under 30
6047-YHPVI,No,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,5,69.7,2454,1,Middle Age (30–59)
5380-WJKOV,No,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,34,106.35,2941,2,Middle Age (30–59)
8168-UQWWF,No,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),11,97.85,5674,3,Middle Age (30–59)
7760-OYPDY,No,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,2,80.65,5586,1,Middle Age (30–59)
9420-LOJKX,No,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),15,99.1,2966,1,Middle Age (30–59)
7495-OOKFY,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),8,80.65,5302,3,Senior (≥ 60)
1658-BYGOY,No,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,18,95.45,3179,2,Senior (≥ 60)
5698-BQJOH,No,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,9,94.4,5571,3,Middle Age (30–59)
5919-TMRGD,No,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,1,79.35,2483,1,Middle Age (30–59)
9191-MYQKX,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),7,75.15,3457,1,Middle Age (30–59)
4445-ZJNMU,No,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),9,99.3,3540,3,Middle Age (30–59)
8637-XJIVR,No,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,12,78.95,5806,1,Middle Age (30–59)
4598-XLKNJ,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,25,98.5,5337,2,Senior (≥ 60)
3192-NQECA,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),68,110.0,5034,2,Under 30
0486-HECZI,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,55,96.75,5154,1,Middle Age (30–59)
4846-WHAFZ,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,37,76.5,2793,2,Senior (≥ 60)
5299-RULOA,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,10,100.25,5998,2,Middle Age (30–59)
0404-SWRVG,No,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,3,74.4,4415,1,Under 30
4412-YLTKF,No,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,27,78.05,4638,1,Senior (≥ 60)
6207-WIOLX,Yes,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),25,58.6,4190,1,Under 30
3091-FYHKI,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,1,35.45,2301,3,Middle Age (30–59)
0390-DCFDQ,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,1,70.45,3964,2,Senior (≥ 60)
4080-OGPJL,No,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,8,71.15,2662,1,Middle Age (30–59)
2135-RXIHG,No,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,1,45.65,2600,1,Middle Age (30–59)
3874-EQOEP,No,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,7,95.0,2786,1,Middle Age (30–59)
9167-APMXZ,No,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),22,84.15,3549,3,Under 30
0867-MKZVY,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,20,82.4,5719,1,Under 30
3376-BMGFE,No,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),4,70.9,4287,1,Middle Age (30–59)
3445-HXXGF,Yes,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,58,45.3,5444,1,Senior (≥ 60)
1875-QIVME,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,2,104.4,4690,3,Under 30
0691-JVSYA,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),53,94.85,4328,1,Under 30
2656-FMOKZ,No,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,15,74.45,5717,2,Senior (≥ 60)
2070-FNEXE,No,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),7,76.45,4419,2,Senior (≥ 60)
5947-SGKCL,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),15,105.35,2721,3,Under 30
6317-YPKDH,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),1,29.95,4534,1,Middle Age (30–59)
9367-WXLCH,No,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),8,84.5,2152,2,Middle Age (30–59)
1918-ZBFQJ,No,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,13,79.25,5142,1,Middle Age (30–59)
1024-GUALD,Yes,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,1,24.8,4851,1,Under 30
2472-OVKUP,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,6,91.0,2283,2,Middle Age (30–59)
1285-OKIPP,No,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,1,79.9,3394,2,Middle Age (30–59)
7825-ECJRF,No,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,19,106.6,3764,1,Middle Age (30–59)
2504-DSHIH,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,23,86.8,5788,3,Senior (≥ 60)
9408-SSNVZ,No,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,4,70.15,2227,2,Middle Age (30–59)
0742-MOABM,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,4,50.05,3394,2,Middle Age (30–59)
2232-DMLXU,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,1,55.2,3638,2,Under 30
8937-RDTHP,No,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,1,84.6,2484,2,Middle Age (30–59)
0094-OIFMO,No,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,11,95.0,5980,1,Senior (≥ 60)
9947-OTFQU,No,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,15,74.4,4616,1,Senior (≥ 60)
0322-YINQP,No,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,1,48.55,5687,1,Middle Age (30–59)
4629-NRXKX,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,2,70.4,5687,1,Middle Age (30–59)
9514-JDSKI,Yes,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,1,40.2,5828,2,Senior (≥ 60)
4959-JOSRX,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),2,44.6,4884,2,Middle Age (30–59)
7273-TEFQD,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,3,41.15,2314,2,Senior (≥ 60)
3606-TWKGI,No,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,13,106.9,2494,1,Senior (≥ 60)
