customerID,Partner,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,tenure,MonthlyCharges,CLTV,Satisfaction Score,Churn,AgeGroup
7590-VHVEG,Yes,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,1,29.85,3964,3,No,Middle Age (30–59)
5575-GNVDE,No,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,34,56.95,3441,3,No,Middle Age (30–59)
3668-QPYBK,No,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,2,53.85,3239,1,Yes,Middle Age (30–59)
7795-CFOCW,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),45,42.3,4307,3,No,Middle Age (30–59)
9237-HQITU,No,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,2,70.7,2701,2,Yes,Under 30
9305-CDSKC,No,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,8,99.65,5372,3,Yes,Middle Age (30–59)
1452-KIOVK,No,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),22,89.1,4459,4,No,Middle Age (30–59)
6713-OKOMC,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,10,29.75,2013,3,No,Middle Age (30–59)
7892-POOKP,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,28,104.8,5003,3,Yes,Under 30
6388-TABGU,No,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),62,56.15,4529,4,No,Middle Age (30–59)
9763-GRSKD,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,13,49.95,5764,3,No,Middle Age (30–59)
7469-LKBCI,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),16,18.95,4726,3,No,Under 30
8091-TTVAX,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),58,100.35,6432,3,No,Middle Age (30–59)
0280-XJGEX,No,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),49,103.7,5340,1,Yes,Middle Age (30–59)
5129-JLPIS,No,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,25,105.5,5822,3,No,Under 30
3655-SNQYZ,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),69,113.25,5141,4,No,Middle Age (30–59)
